Date,PX_LAST
#NAME?,566.1917
2014-02-03,483.99601
2014-01-31,496.14424
2014-01-30,491.94783
2014-01-29,487.7672
2014-01-28,487.49821
2014-01-27,477.42415
2014-01-24,488.63108
2014-01-23,504.01704
2014-01-22,515.75758
2014-01-21,513.44325
2014-01-20,515.06696
2014-01-17,517.85021
2014-01-16,513.91113
2014-01-15,508.09504
2014-01-14,501.39619
2014-01-13,502.87908
2014-01-10,504.56444
2014-01-09,505.78709
2014-01-08,506.47281
2014-01-07,502.97359
2014-01-06,499.04077
2014-01-03,502.90276
2014-01-02,498.17214
2013-12-31,483.4434
2013-12-30,481.6929
2013-12-27,481.00821
2013-12-26,474.4
2013-12-25,472.97669
2013-12-24,473.37268
2013-12-23,475.07081
2013-12-20,471.88302
2013-12-19,478.1225
2013-12-18,471.73393
2013-12-17,469.34327
2013-12-16,469.39495
2013-12-13,468.8085
2013-12-12,467.72381
2013-12-11,468.14359
2013-12-10,474.55589
2013-12-09,474.13139
2013-12-06,477.93998
2013-12-05,478.89535
2013-12-04,481.45115
2013-12-03,483.32507
2013-12-02,491.06369
2013-11-29,492.38429
2013-11-28,490.85915
2013-11-27,491.03279
2013-11-26,490.93774
2013-11-25,495.02005
2013-11-22,494.87473
2013-11-21,499.74277
2013-11-20,499.68681
2013-11-19,499.29905
2013-11-18,509.39562
2013-11-15,508.7785
2013-11-14,507.24673
2013-11-13,500.13
2013-11-12,499.43706
2013-11-11,502.5645
2013-11-08,500.41273
2013-11-07,497.78381
2013-11-06,508.79854
2013-11-05,507.48266
2013-11-04,505.33684
2013-11-01,496.96651
2013-10-31,492.1028
2013-10-30,488.4329
2013-10-29,490.82379
2013-10-28,488.21376
2013-10-25,491.84299
2013-10-24,500.8683
2013-10-23,504.7126
2013-10-22,513.80692
2013-10-21,516.9894
2013-10-18,512.72648
2013-10-17,507.79725
2013-10-16,507.3456
2013-10-15,504.29071
2013-10-14,497.44424
2013-10-11,498.70899
2013-10-10,496.18999
2013-10-09,489.85974
2013-10-08,489.0624
2013-10-07,487.89753
2013-10-04,493.05638
2013-10-03,487.80021
2013-10-02,487.21755
2013-10-01,486.50233
2013-09-30,478.84909
2013-09-27,477.01412
2013-09-26,472.79403
2013-09-25,461.66832
2013-09-24,461.83932
2013-09-23,460.69789
2013-09-20,458.39417
2013-09-19,462.09848
2013-09-18,461.76988
2013-09-17,457.91599
2013-09-16,460.21074
2013-09-13,457.81022
2013-09-12,455.64578
2013-09-11,459.32659
2013-09-10,457.52391
2013-09-09,451.67823
2013-09-06,453.32961
2013-09-05,450.7045
2013-09-04,439.34159
2013-09-03,442.11806
2013-09-02,433.52421
2013-08-30,431.46054
2013-08-29,428.24071
2013-08-28,424.26363
2013-08-27,427.10943
2013-08-26,435.61188
2013-08-23,438.93464
2013-08-22,435.24525
2013-08-21,431.39973
2013-08-20,433.1035
2013-08-19,436.66434
2013-08-16,448.16968
2013-08-15,449.94397
2013-08-14,457.02489
2013-08-13,455.63842
2013-08-12,456.10009
2013-08-09,452.66589
2013-08-08,449.11418
2013-08-07,447.72809
2013-08-06,461.44815
2013-08-05,463.20366
2013-08-02,460.20697
2013-08-01,455.94332
2013-07-31,447.1511
2013-07-30,451.73585
2013-07-29,445.76648
2013-07-26,450.0991
2013-07-25,454.28324
2013-07-24,458.54551
2013-07-23,456.43476
2013-07-22,456.43269
2013-07-19,452.20336
2013-07-18,451.8282
2013-07-17,448.89345
2013-07-16,450.12454
2013-07-15,448.35308
2013-07-12,440.48685
2013-07-11,445.17294
2013-07-10,440.94755
2013-07-09,441.98741
2013-07-08,436.09745
2013-07-05,434.39554
2013-07-04,429.86929
2013-07-03,423.60778
2013-07-02,428.74299
2013-07-01,425.82251
2013-06-28,426.72695
2013-06-27,423.93133
2013-06-26,418.37833
2013-06-25,405.31392
2013-06-24,406.66272
2013-06-21,415.17806
2013-06-20,413.481
2013-06-19,425.76504
2013-06-18,428.25935
2013-06-17,429.53045
2013-06-14,417.93836
2013-06-13,415.33653
2013-06-12,416.77909
2013-06-11,417.93561
2013-06-10,425.19761
2013-06-07,417.97338
2013-06-06,416.06052
2013-06-05,426.53182
2013-06-04,435.09066
2013-06-03,435.0791
2013-05-31,438.63264
2013-05-30,443.71547
2013-05-29,449.52721
2013-05-28,440.30082
2013-05-27,438.68206
2013-05-24,440.78342
2013-05-23,431.78536
2013-05-22,446.79436
2013-05-21,455.84374
2013-05-20,454.97701
2013-05-17,444.71188
2013-05-16,443.0314
2013-05-15,442.25433
2013-05-14,437.13054
2013-05-13,428.92247
2013-05-10,426.6698
2013-05-09,419.57383
2013-05-08,419.80518
2013-05-07,415.33476
2013-05-06,413.07151
2013-05-03,409.67529
2013-05-02,410.88178
2013-05-01,407.8674
2013-04-30,407.35598
2013-04-29,404.69767
2013-04-26,400.56694
2013-04-25,401.3974
2013-04-24,400.04982
2013-04-23,394.45438
2013-04-22,389.36143
2013-04-19,388.4671
2013-04-18,381.98846
2013-04-17,389.01812
2013-04-16,393.95559
2013-04-15,399.20855
2013-04-12,394.90271
2013-04-11,380.5445
2013-04-10,376.80991
2013-04-09,366.19684
2013-04-08,354.74433
2013-04-05,351.8917
2013-04-04,356.34853
2013-04-03,360.22647
2013-04-02,359.87362
2013-04-01,365.70773
2013-03-29,367.81668
2013-03-28,365.6935
2013-03-27,365.60218
2013-03-26,363.38906
2013-03-25,361.32528
2013-03-22,365.99245
2013-03-21,365.29807
2013-03-20,360.29756
2013-03-19,358.85805
2013-03-18,356.21153
2013-03-15,358.89677
2013-03-14,357.63023
2013-03-13,353.6136
2013-03-12,356.9464
2013-03-11,360.24426
2013-03-08,362.19554
2013-03-07,359.21891
2013-03-06,361.65589
2013-03-05,358.24184
2013-03-04,355.42494
2013-03-01,355.69376
2013-02-28,355.99266
2013-02-27,353.33438
2013-02-26,354.5118
2013-02-25,356.01683
2013-02-22,356.79742
2013-02-21,356.56212
2013-02-20,359.29571
2013-02-19,355.60102
2013-02-18,356.59005
2013-02-15,358.06403
2013-02-14,355.57781
2013-02-13,347.11373
2013-02-12,348.70363
2013-02-11,345.95973
2013-02-08,345.82733
2013-02-07,347.14887
2013-02-06,343.23146
2013-02-05,335.92123
2013-02-04,340.76653
2013-02-01,340.65313
2013-01-31,343.80197
2013-01-30,346.26654
2013-01-29,349.0428
2013-01-28,349.32464
2013-01-25,351.94841
2013-01-24,357.52868
2013-01-23,362.41955
2013-01-22,362.8926
2013-01-21,360.06541
2013-01-18,361.78808
2013-01-17,358.63634
2013-01-16,361.23111
2013-01-15,364.1847
2013-01-14,362.1859
2013-01-11,365.06624
2013-01-10,367.2417
2013-01-09,367.01882
2013-01-08,361.51148
2013-01-07,364.30272
2013-01-04,368.36478
2013-01-03,362.59469
2013-01-02,355.6311
2013-01-01,346.05505
2012-12-31,346.31727
2012-12-28,345.07389
2012-12-27,351.13399
2012-12-26,353.54715
2012-12-25,356.29987
2012-12-24,353.74384
2012-12-21,356.49495
2012-12-20,355.48724
2012-12-19,351.35372
2012-12-18,345.70174
2012-12-17,352.00008
2012-12-14,341.03721
2012-12-13,339.23405
2012-12-12,338.52109
2012-12-11,335.4785
2012-12-10,335.29559
2012-12-07,335.62488
2012-12-06,330.54771
2012-12-05,323.94529
2012-12-04,322.28605
2012-12-03,319.81386
2012-11-30,324.27519
2012-11-29,324.69211
2012-11-28,320.82722
2012-11-27,321.18649
2012-11-26,323.71983
2012-11-23,317.33798
2012-11-22,315.57073
2012-11-21,315.12239
2012-11-20,314.88638
2012-11-19,318.23621
2012-11-16,313.87566
2012-11-15,310.11383
2012-11-14,309.38475
2012-11-13,313.16884
2012-11-12,313.87745
2012-11-09,317.67992
2012-11-08,320.28531
2012-11-07,322.5735
2012-11-06,321.84627
2012-11-05,317.35879
2012-11-02,319.7952
2012-11-01,319.95353
2012-10-31,318.59275
2012-10-30,319.43324
2012-10-29,321.17257
2012-10-26,318.90518
2012-10-25,321.86285
2012-10-24,320.83959
2012-10-23,322.16708
2012-10-22,332.26487
2012-10-19,334.04292
2012-10-18,341.64894
2012-10-17,338.75783
2012-10-16,335.44906
2012-10-15,332.96467
2012-10-12,330.83923
